Simulator Program
=================

Uploading Configuration Files

Uploading Meta Data Files

=================
Begin Simulation

Time:  4.836789, OS: Process 2 set in READY state
Time:  4.848684, OS: Process 2 selected with 580 ms remaining
Time:  4.858345, OS: Process 2 set in RUNNING state
Time:  4.866959, OS: Process 2 run operation start
Time:  4.877571, OS: Process 2 run cycle complete
Time:  4.885405, OS: Process 2 set in READY state
Time:  4.893987, OS: Process 2 selected with 574 ms remaining
Time:  4.904432, OS: Process 2 set in RUNNING state
Time:  4.914232, OS: Process 2 run operation start
Time:  4.926163, OS: Process 2 run cycle complete
Time:  4.940057, OS: Process 2 set in READY state
Time:  4.945356, OS: Process 2 selected with 568 ms remaining
Time:  4.955363, OS: Process 2 set in RUNNING state
Time:  4.966899, OS: Process 2 run operation start
Time:  4.979345, OS: Process 2 run cycle complete
Time:  4.987325, OS: Process 2 set in READY state
Time:  4.997319, OS: Process 2 selected with 562 ms remaining
Time:  5.005573, OS: Process 2 set in RUNNING state
Time:  5.014470, OS: Process 2 run operation start
Time:  5.025423, OS: Process 2 run cycle complete
Time:  5.038310, OS: Process 2 set in READY state
Time:  5.045582, OS: Process 2 selected with 556 ms remaining
Time:  5.055321, OS: Process 2 set in RUNNING state
Time:  5.062051, OS: Process 2 run operation start
Time:  5.073534, OS: Process 2 run cycle complete
Time:  5.085134, OS: Process 2 set in READY state
Time:  5.094904, OS: Process 2 selected with 550 ms remaining
Time:  5.105449, OS: Process 2 set in RUNNING state
Time:  5.112614, OS: Process 2 run operation start
Time:  5.124883, OS: Process 2 run cycle complete
Time:  5.131634, OS: Process 2 set in READY state
Time:  5.139647, OS: Process 2 selected with 544 ms remaining
Time:  5.148580, OS: Process 2 set in RUNNING state
Time:  5.154617, OS: Process 2 run operation start
Time:  5.166299, OS: Process 2 run operation end
Time:  5.177330, OS: Process 2 set in READY state
Time:  5.189431, OS: Process 2 selected with 540 ms remaining
Time:  5.199175, OS: Process 2 set in RUNNING state
Time:  5.208957, OS: Process 2 printer output start
Time:  5.217296, OS: Process 2 set in BLOCKED state
Time:  5.224758, OS: Process 0 selected with 1808 ms remaining
Time:  5.231877, OS: Process 0 set in RUNNING state
Time:  5.240201, OS: Process 0 run operation start
Time:  5.251429, OS: Process 0 run operation end
Time:  5.261114, OS: Process 0 set in READY state
Time:  5.269642, OS: Process 0 selected with 1804 ms remaining
Time:  5.277116, OS: Process 0 set in RUNNING state
Time:  5.285525, OS: Process 0 printer output start
Time:  5.299810, OS: Process 0 set in BLOCKED state
Time:  5.307811, OS: System Idle
#
#
#
#
Time:  5.354812, OS: Interrupt by Process 2
#
#
#
#
#Time:  5.362954, OS: Process 2 printer IO end
Time:  5.369817, OS: Process 2 set in READY state
Time:  5.376872, OS: Process 2 selected with 410 ms remaining
Time:  5.384575, OS: Process 2 set in RUNNING state
Time:  5.391473, OS: Process 2 harddrive input start
Time:  5.400592, OS: Process 2 set in BLOCKED state
Time:  5.412028, OS: System Idle
#
#
#
#
Time:  5.462105, OS: Interrupt by Process 2
#
#
#
#
#Time:  5.471765, OS: Process 2 harddrive IO end
Time:  5.481226, OS: Process 2 set in READY state
Time:  5.491298, OS: Process 2 selected with 360 ms remaining
Time:  5.499886, OS: Process 2 set in RUNNING state
Time:  5.511587, OS: Process 2 keyboard input start
Time:  5.525819, OS: Process 2 set in BLOCKED state
Time:  5.535167, OS: System Idle
#
#
#
#
Time:  5.655831, OS: Interrupt by Process 0
#
#
#
#
#Time:  5.670864, OS: Process 0 printer IO end
Time:  5.682681, OS: Process 0 set in READY state
Time:  5.692760, OS: Process 0 selected with 1456 ms remaining
Time:  5.704197, OS: Process 0 set in RUNNING state
Time:  5.711913, OS: Process 0 printer output start
